"OpnameID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017012712420281";"Rhytidiadelphus squarrosus (Hedw.) Warnst.";27,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Polytrichum";27,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Hypnum";87,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012712420281";"Sorbus aucuparia L.";27,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Populus x canadensis Moench";87,5;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Trifolium repens L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Festuca rubra L.";15;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Galium aparine L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Ranunculus repens L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Lysimachia vulgaris L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Juncus effusus L.";0,1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Rubus";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Molinia caerulea (L.) Moench";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Juncus acutiflorus Ehrh. ex Hoffmann";0,1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Stellaria graminea L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Holcus lanatus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Teucrium scorodonia L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Urtica dioica L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Achillea millefolium L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Glechoma hederacea L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Rumex acetosa L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Eupatorium cannabinum L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Juncus conglomeratus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Cerastium fontanum Baumg.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Cirsium arvense (L.) Scop.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Anthoxanthum odoratum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Ranunculus acris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Vicia cracca L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Carex pilulifera L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Danthonia decumbens (L.) DC.";15;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Plantago lanceolata L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Luzula campestris (L.) DC.";15;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Rumex acetosella L.";0,1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Taraxacum";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Carex hirta L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Equisetum arvense L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Hypochaeris radicata L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Agrostis capillaris L.";15;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Hieracium umbellatum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Hypericum perforatum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Erodium cicutarium (L.) L'Hérit.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Senecio jacobaea L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Jasione montana L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Cytisus scoparius (L.) Link";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Potentilla erecta (L.) Räuschel";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Crepis capillaris (L.) Wallr.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Sorbus aucuparia L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Geum urbanum L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Prunella vulgaris L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Calamagrostis epigejos (L.) Roth";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Viola riviniana Reichenb.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Medicago lupulina L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Sedum acre L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Calluna vulgaris (L.) Hull";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Fragaria vesca L.";0,1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Veronica officinalis L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Rubus idaeus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Oenothera";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Gnaphalium luteoalbum L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Centaurium erythraea Rafn";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Betula";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Lotus pedunculatus Cav.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Potentilla anglica Laichard.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Carex demissa Vahl ex Hartm.";0,1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Erica cinerea L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Agrimonia procera Wallr.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Atrichum undulatum (Hedw.) P.Beauv.";1;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Calliergonella cuspidata (Hedw.) Loeske";1;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Polytrichum piliferum Hedw.";0,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Pseudoscleropodium purum (Hedw.) M.Fleisch.";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Kindbergia praelonga (Hedw.) Ochyra";15;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Hypnum";15;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Brachythecium";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Cladonia";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017120113271520";"Plagiomnium";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Prunus avium (L.) L.";1;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Plantago major L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Trifolium repens L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Rubus";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Holcus lanatus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Teucrium scorodonia L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Achillea millefolium L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Deschampsia flexuosa (L.) Trin.";62,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Trifolium pratense L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Carex ovalis Good.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Dactylis glomerata L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Phleum pratense groep";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Heracleum sphondylium L.";0,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Carex pilulifera L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Danthonia decumbens (L.) DC.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Centaurea jacea L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Plantago lanceolata L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Taraxacum";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Hypochaeris radicata L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Agrostis capillaris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Hypericum perforatum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Leontodon autumnalis L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Jasione montana L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Prunus serotina Ehrh.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Quercus rubra L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Prunella vulgaris L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Gnaphalium sylvaticum L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Leontodon saxatilis Lam.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Calluna vulgaris (L.) Hull";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Juncus squarrosus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Hieracium";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Veronica officinalis L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Carduus crispus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Brachythecium rutabulum (Hedw.) Schimp.";1;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Polytrichum";1;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2018030715412818";"Robinia pseudoacacia L.";37,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Betula pendula Roth";1;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Festuca rubra L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Ranunculus repens L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Lysimachia vulgaris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Holcus lanatus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Holcus mollis L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Urtica dioica L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Achillea millefolium L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Rumex acetosa L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Alopecurus pratensis L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Cirsium arvense (L.) Scop.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Trifolium pratense L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Ajuga reptans L.";0,75;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Agrostis vinealis Schreb.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Danthonia decumbens (L.) DC.";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Centaurea jacea L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Plantago lanceolata L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Luzula campestris (L.) DC.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Daucus carota L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Taraxacum";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Equisetum arvense L.";0,75;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Hypochaeris radicata L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Agrostis capillaris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Aira praecox L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Trifolium arvense L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Arrhenatherum elatius (L.) Beauv. ex J. et C. Presl";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Hypericum perforatum L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Leontodon autumnalis L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Senecio vulgaris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Vicia hirsuta (L.) S.F. Gray";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Crepis capillaris (L.) Wallr.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Quercus rubra L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Prunella vulgaris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Hieracium pilosella L.";6,875;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Trifolium campestre Schreb.";0,75;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Viola canina L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Calluna vulgaris (L.) Hull";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Arenaria serpyllifolia L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Aira caryophyllea L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Conyza canadensis (L.) Cronq.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Oenothera";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Festuca ovina L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Hieracium vulgatum Fries";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Campanula rotundifolia L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Pimpinella saxifraga L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Brachythecium rutabulum (Hedw.) Schimp.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Rhytidiadelphus squarrosus (Hedw.) Warnst.";6,875;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Polytrichum";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017011312251730";"Bryum";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Quercus robur L.";1;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Trifolium repens L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Ranunculus repens L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Dryopteris carthusiana (Vill.) H.P. Fuchs";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Rubus";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Stellaria graminea L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Holcus lanatus L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Teucrium scorodonia L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Achillea millefolium L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Rumex acetosa L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Juncus conglomeratus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Cerastium fontanum Baumg.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Anthoxanthum odoratum L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Carex pilulifera L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Luzula multiflora (Ehrh.) Lej.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Plantago lanceolata L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Luzula campestris (L.) DC.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Rumex acetosella L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Hypochaeris radicata L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Agrostis capillaris L.";87,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Hieracium umbellatum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Lolium perenne L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Hypericum perforatum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Salix";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Quercus robur L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Jasione montana L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Cytisus scoparius (L.) Link";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Betula pendula Roth";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Veronica serpyllifolia L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Rhamnus frangula L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Prunella vulgaris L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Gnaphalium sylvaticum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Ornithopus perpusillus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Sagina procumbens L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Calluna vulgaris (L.) Hull";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Veronica officinalis L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Vulpia bromoides (L.) S.F. Gray";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Polytrichum commune Hedw.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Atrichum undulatum (Hedw.) P.Beauv.";1,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Calliergonella cuspidata (Hedw.) Loeske";1;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Pseudoscleropodium purum (Hedw.) M.Fleisch.";27,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021012213856";"Rhytidiadelphus squarrosus (Hedw.) Warnst.";27,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Salix";1;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Lysimachia vulgaris L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Juncus effusus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Molinia caerulea (L.) Moench";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Agrostis canina L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Juncus acutiflorus Ehrh. ex Hoffmann";87,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Lonicera periclymenum L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Holcus lanatus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Juncus conglomeratus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Carex acuta L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Carex panicea L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Carex pilulifera L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Danthonia decumbens (L.) DC.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Luzula multiflora (Ehrh.) Lej.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Carex echinata Murray";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Salix";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Quercus robur L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Potentilla erecta (L.) Räuschel";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Carex acutiformis Ehrh.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Betula pendula Roth";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Rhamnus frangula L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Calluna vulgaris (L.) Hull";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Lotus pedunculatus Cav.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Pedicularis sylvatica L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Dactylorhiza maculata subsp. maculata";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Melampyrum pratense L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Sphagnum denticulatum Brid.";1;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Sphagnum palustre L.";27,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Rhytidiadelphus squarrosus (Hedw.) Warnst.";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Calypogeia fissa (L.) Raddi";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Rhizomnium punctatum (Hedw.) T.J.Kop.";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017012620463014";"Rhamnus frangula L.";1;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017120117561385";"Alnus glutinosa (L.) Gaertn.";1;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017120117561385";"Betula pubescens Ehrh.";1;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017120117561385";"Lysimachia vulgaris L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
