"Meetnet";"MeetpuntID";"ID_VBI";"Plot";"OpnameID";"Habitattype";"Habitatsubtype";"SBZH";"Date";"X";"Y";"GRTS_ranking";"PlotWeight_cirkelplot";"StratumWeight";"PlotWeight_vegetatieplot";"Periode";"Phab"
"MHK";"236370";;"Vegetatieplot";"236370";"2330";"2330_bu";"Binnen";"2014-08-27";236637,591973;195854,113583;236370;1;17,5142857142857;;;
"MHK";"295862";;"Vegetatieplot";"295862";"2330";"2330_bu";"Binnen";"2014-09-03";215133,638;200878,118;295862;0,223782656804328;17,5142857142857;;;
"MHK";"33718";;"Vegetatieplot";"33718";"2330";"2330_bu";"Binnen";"2014-09-02";215229,797;201039,352;33718;1;17,5142857142857;;;
"MHK";"361398";;"Vegetatieplot";"361398";"2330";"2330_bu";"Binnen";"2014-09-02";215005,527;201038,1;361398;1;17,5142857142857;;;
"MHK";"386422";;"Vegetatieplot";"386422";"2330";"2330_bu";"Binnen";"2014-09-23";214333,62;216334,141;386422;1;17,5142857142857;;;
"MHK";"431314";;"Vegetatieplot";"431314";"2330";"2330_bu";"Binnen";"2014-09-17";219549,551;196174,067;431314;1;17,5142857142857;;;
"MHK";"43858";;"Vegetatieplot";"43858";"2330";"2330_bu";"Binnen";"2014-08-28";237149,592;195662,156;43858;1;17,5142857142857;;;
"MHK";"445266";;"Vegetatieplot";"445266";"2330";"2330_bu";"Binnen";"2014-08-27";236797,591973;196078,113583;445266;0,599105380380149;17,5142857142857;;;
"MHK";"503414";;"Vegetatieplot";"503414";"2330";"2330_bu";"Binnen";"2016-10-05";210749,592;208174,127;503414;0,999970507446378;17,5142857142857;;;
"MHK";"55058";;"Vegetatieplot";"55058";"2330";"2330_bu";"Buiten";"2014-09-11";218973,577;202734,147;55058;1;111,15;;;
"MHK";"583030";;"Vegetatieplot";"583030";"2330";"2330_bu";"Binnen";"2016-09-29";213981,615;216174,025;583030;0,999970507446378;17,5142857142857;;;
"MHK";"602846";;"Vegetatieplot";"602846";"2330";"2330_bu";"Binnen";"2016-10-03";153885,539;231758,157;602846;0,999970507446378;17,5142857142857;;;
"MHK";"648566";;"Vegetatieplot";"648566";"2330";"2330_bu";"Binnen";"2016-09-29";214301,63;216270,181;648566;0,999970507446378;17,5142857142857;;;
"MHK";"656246";;"Vegetatieplot";"656246";"2330";"2330_bu";"Binnen";"2016-10-05";210402,134;208224,879;656246;0,999970507446378;17,5142857142857;;;
"MHK";"659382";;"Vegetatieplot";"659382";"2330";"2330_bu";"Binnen";"2017-07-20";218461,535;197614,176;659382;1;17,5142857142857;;;
"MHK";"714198";;"Vegetatieplot";"714198";"2330";"2330_bu";"Binnen";"2016-10-14";185789,549;211054,087;714198;0,999970507446378;17,5142857142857;;;
"MHK";"714230";;"Vegetatieplot";"714230";"2330";"2330_bu";"Binnen";"2016-09-28";196381,637;204110,114;714230;0,999970507446378;17,5142857142857;;;
"MHK";"742610";;"Vegetatieplot";"742610";"2330";"2330_bu";"Binnen";"2017-07-17";220637,569;196718,169;742610;1;17,5142857142857;;;
"MHK";"808146";;"Vegetatieplot";"808146";"2330";"2330_bu";"Binnen";"2017-07-17";219837,591973;196270,113583;808146;1;17,5142857142857;;;
"MHK";"821462";;"Vegetatieplot";"821462";"2330";"2330_bu";"Binnen";"2016-10-21";177565,585;218478,196;821462;0,999970507446378;17,5142857142857;;;
"MHK";"877942";;"Vegetatieplot";"877942";"2330";"2330_bu";"Binnen";"2016-09-30";214112,187;215054,275;877942;0,999970507446378;17,5142857142857;;;
"MHK";"884342";;"Vegetatieplot";"884342";"2330";"2330_bu";"Binnen";"2016-10-05";210621,689;208590,339;884342;0,999970507446378;17,5142857142857;;;
"MHK";"91510";;"Vegetatieplot";"91510";"2330";"2330_bu";"Binnen";"2015-09-09";214045,599;215502,176;91510;1;17,5142857142857;;;
"MHK";"937682";;"Vegetatieplot";"937682";"2330";"2330_bu";"Binnen";"2017-07-28";224669,59;193806,173;937682;1;17,5142857142857;;;
"MHK";"963294";;"Vegetatieplot";"963294";"2330";"2330_bu";"Binnen";"2016-09-19";154685,553;231374,104;963294;0,999970507446378;17,5142857142857;;;
"MHK";"100050";;"Vegetatieplot";"100050";"4010";"4010";"Binnen";"2014-09-01";224989,647;188910,054;100050;0,759792926627744;55,241935483871;;;
"MHK";"106614";;"Vegetatieplot";"106614";"4010";"4010";"Binnen";"2016-11-17";205629,517;211502,033;106614;1;55,241935483871;;;
"MHK";"111326";;"Vegetatieplot";"111326";"4010";"4010";"Binnen";"2014-08-19";155069,521;231854,005;111326;1;55,241935483871;;;
"MHK";"11218";;"Vegetatieplot";"11218";"4010";"4010";"Binnen";"2014-09-10";230077,565;194510,102;11218;0,999970507446378;55,241935483871;;;
"MHK";"11742";;"Vegetatieplot";"11742";"4010";"4010";"Binnen";"2016-10-27";164701,546;228078,08;11742;1;55,241935483871;;;
"MHK";"120018";;"Vegetatieplot";"120018";"4010";"4010";"Binnen";"2014-09-15";220061,612;198030,039;120018;1;55,241935483871;;;
"MHK";"120110";;"Vegetatieplot";"120110";"4010";"4010";"Binnen";"2014-09-24";188861,589;227758,156;120110;1;55,241935483871;;;
"MHK";"122578";;"Vegetatieplot";"122578";"4010";"4010";"Binnen";"2014-08-29";223677,579;190446,099;122578;0,7284374379628;55,241935483871;;;
"MHK";"124382";;"Vegetatieplot";"124382";"4010";"4010";"Binnen";"2016-10-12";165405,568;227822,167;124382;1;55,241935483871;;;
"MHK";"129234";;"Vegetatieplot";"129234";"4010";"4010";"Binnen";"2014-09-11";220349,678;198254,1;129234;1;55,241935483871;;;
"MHK";"131806";;"Vegetatieplot";"131806";"4010";"4010";"Binnen";"2016-10-20";154045,588;233262,17;131806;1;55,241935483871;;;
"MHK";"15070";;"Vegetatieplot";"15070";"4010";"4010";"Binnen";"2015-06-26";159101,537;227182,09;15070;1;55,241935483871;;;
"MHK";"23538";;"Vegetatieplot";"23538";"4010";"4010";"Binnen";"2014-08-25";240637,721;181550,161;23538;1;55,241935483871;;;
"MHK";"279478";;"Vegetatieplot";"279478";"4010";"4010";"Binnen";"2014-09-03";215709,558;200718,132;279478;1;55,241935483871;;;
"MHK";"28126";;"Vegetatieplot";"28126";"4010";"4010";"Binnen";"2016-10-11";164541,584;227566,074;28126;1;55,241935483871;;;
"MHK";"35090";;"Vegetatieplot";"35090";"4010";"4010";"Binnen";"2015-09-24";223037,733;217262,156;35090;1;55,241935483871;;;
"MHK";"40054";;"Vegetatieplot";"40054";"4010";"4010";"Binnen";"2016-11-28";206557,552;212078,068;40054;1;55,241935483871;;;
