"OpnameID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017021511480087";"Sphagnum papillosum Lindb.";6,875;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Rhamnus frangula L.";21,875;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017021511480087";"Myrica gale L.";1,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Alnus glutinosa (L.) Gaertn.";1,5;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Cardamine pratensis L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Lycopus europaeus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Galium aparine L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Ranunculus repens L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Lysimachia vulgaris L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Achillea ptarmica L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Juncus effusus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Lythrum salicaria L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Carex rostrata Stokes";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Cirsium palustre (L.) Scop.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Dryopteris carthusiana (Vill.) H.P. Fuchs";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Scutellaria galericulata L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Comarum palustre L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Equisetum fluviatile L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Molinia caerulea (L.) Moench";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Agrostis canina L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Juncus acutiflorus Ehrh. ex Hoffmann";87,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
