"ID";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"VBI138036_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138036_2";"9120";"9120";"MSA";"MSA";"119.822289333592";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138036_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138097_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"3.09828029926781";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138097_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI138097_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138097_2";"9120";"9120";"MSA";"MSA";"4.071118109535";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138097_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI138098_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0.645707456238328";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI138098_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI138098_2";"9120";"9120";"bosconstantie";"bosconstantie";"81";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI138098_2";"9120";"9120";"MSA";"MSA";"5.723613855729";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI138098_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI142137_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"0";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI142137_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI142137_2";"9120";"9120";"bosconstantie";"bosconstantie";"41";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI142137_2";"9120";"9120";"MSA";"MSA";"0.386188835709";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI142137_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI144048_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"22.6845748053379";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI144048_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI144048_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI144048_2";"9120";"9120";"MSA";"MSA";"52.6206855333199";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI144048_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
"VBI144055_2";"9120";"9120";"volumeAandeelDoodHout";"aandeel dood hout";"23.9032678149469";"Percentage";NA;"%";"Structuur";"aandeel dood hout"
"VBI144055_2";"9120";"9120";"dikDoodHoutStaand_ha";"aantal exemplaren dik dood hout per ha";"0";"Decimaal getal";NA;NA;"Structuur";"hoeveelheid dik dood hout"
"VBI144055_2";"9120";"9120";"bosconstantie";"bosconstantie";"101";"Geheel getal";NA;NA;"Structuur";"bosconstantie"
"VBI144055_2";"9120";"9120";"MSA";"MSA";"52.6206855333199";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal"
"VBI144055_2";"9120";"9120";"natuurlijke_mozaiekstructuur";"natuurlijke mozaïekstructuur";"0";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur"
