"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"98002";"Binnen";"2310";1;2014-09-11;"Atlantic";"vegetatieopname";2014;24;41,4513647749938;21555
"100050";"Binnen";"4010";0,759792926627744;2014-09-01;"Atlantic";"vegetatieopname";2014;23;59,3729147585655;18406
"102098";"Binnen";"2310";1;2014-09-11;"Atlantic";"vegetatieopname";2014;25;41,4513647749938;21555
"105682";"Binnen";"2310";1;2014-09-08;"Atlantic";"vegetatieopname";2014;26;41,4513647749938;21555
"106614";"Binnen";"4010";1;2016-11-17;"Atlantic";"vegetatieopname";2016;24;59,3729147585655;18406
"111326";"Binnen";"4010";1;2014-08-19;"Atlantic";"vegetatieopname";2014;25;59,3729147585655;18406
"115422";"Binnen";"2310";1;2015-06-23;"Atlantic";"vegetatieopname";2015;27;41,4513647749938;21555
"117202";"Binnen";"2310";1;2014-09-10;"Atlantic";"vegetatieopname";2014;28;41,4513647749938;21555
"120018";"Binnen";"4010";1;2014-09-15;"Atlantic";"vegetatieopname";2014;26;59,3729147585655;18406
"120110";"Binnen";"4010";1;2014-09-24;"Atlantic";"vegetatieopname";2014;27;59,3729147585655;18406
"122578";"Binnen";"4010";0,7284374379628;2014-08-29;"Atlantic";"vegetatieopname";2014;28;59,3729147585655;18406
"124278";"Binnen";"2310";1;2014-09-23;"Atlantic";"vegetatieopname";2014;29;41,4513647749938;21555
"124382";"Binnen";"4010";1;2016-10-12;"Atlantic";"vegetatieopname";2016;29;59,3729147585655;18406
"125394";"Binnen";"2310";1;2015-06-01;"Atlantic";"vegetatieopname";2015;30;41,4513647749938;21555
"125998";"Binnen";"4030";0,867530016283834;2016-10-24;"Atlantic";"vegetatieopname";2016;31;114,382132088648;40034
"127710";"Binnen";"2310";1;2016-11-16;"Atlantic";"vegetatieopname";2016;31;41,4513647749938;21555
"129234";"Binnen";"4010";1;2014-09-11;"Atlantic";"vegetatieopname";2014;30;59,3729147585655;18406
"131806";"Binnen";"4010";1;2016-10-20;"Atlantic";"vegetatieopname";2016;31;59,3729147585655;18406
"134098";"Binnen";"2310";1;2014-09-09;"Atlantic";"vegetatieopname";2014;32;41,4513647749938;21555
"136402";"Binnen";"4030";1;2014-09-16;"Atlantic";"vegetatieopname";2014;32;114,382132088648;40034
"144094";"Binnen";"2310";1;2014-09-03;"Atlantic";"vegetatieopname";2014;33;41,4513647749938;21555
"151250";"Binnen";"2310";1;2014-09-08;"Atlantic";"vegetatieopname";2014;34;41,4513647749938;21555
"152786";"Binnen";"2310";0,704694860742418;2014-09-19;"Atlantic";"vegetatieopname";2014;35;41,4513647749938;21555
