"Scenario";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"PlotWeight";"StratumWeight";"WeightComb"
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 3";"Structuur";"microreliëf";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 3";"Verstoring";"overgang naar rbbzil";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616345212";"1117877";"1330";"1330_hpr";"Versie 3";"Verstoring";"rietontwikkeling";TRUE;"zb";"Binnen";50;6,62466184943237;3,31233092471619
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Verstoring";"verbossing/verstruweling";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 2.0";"Verstoring";"vervilting";FALSE;"zb";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010616490548";"19510";"6230";"6230_hn";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Buiten";50;9,17159716811805;4,58579858405902
"Cirkelplot";"IV2017010617095027";"736949";"1330";"1330_hpr";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"zb";"Binnen";65;6,62466184943237;4,30603020213104
"Cirkelplot";"IV2017010617095027";"736949";"1330";"1330_hpr";"Versie 2.0";"Structuur";"horizontale structuur";NA;"b";"Binnen";65;6,62466184943237;4,30603020213104
"Cirkelplot";"IV2017010617095027";"736949";"1330";"1330_hpr";"Versie 2.0";"Structuur";"microreliëf";TRUE;"zb";"Binnen";65;6,62466184943237;4,30603020213104
