"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"Meting";"PlotWeight";"StratumWeight";"WeightComb";"Scenario"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908192809";"1036446";6230;"6230_hmo";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Cirkelplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Binnen";"Cirkelplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"verdroging";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"vernatting";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017112908460816";"1036446";6230;"6230_hmo";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";"Vegetatieplot";0,4;5,635;2,254;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112213868";"1040518";6230;"6230_hn";"Versie 2.0";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Cirkelplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 2.0";"Verstoring";"verbossing/verstruweling";TRUE;"b";"Binnen";"Cirkelplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 2.0";"Verstoring";"vervilting";FALSE;"zb";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
