"";"CodeLocatie";"Waterloop";"X";"Y";"datum";"ID";"Habitattype";"Meetnet";"SGO";"SBZH";"IDToon";"Regio"
"48";"Maas_10";"Maas";248134,1;188525,7;2017-09-05;"Maas_10_5/09/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";191;"Atl"
"49";"Maas_18";"Maas";243005;176670,6;2017-08-21;"Maas_18_21/08/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";1811;"Atl"
"50";"Maas_11";"Maas";247213,9;187245,6;2017-09-05;"Maas_11_5/09/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";207;"Atl"
"51";"TR152500.3";"BERWIJN - BERWINNE";245544;161268;2017-09-13;"TR152500.3_13/09/2017";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Con"
"52";"Maas_09";"Maas";247171,9;187154,8;2017-09-05;"Maas_09_5/09/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";208;"Atl"
"53";"Maas_08";"Maas";248161,7;188823,1;2017-09-05;"Maas_08_5/09/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";188;"Atl"
"54";"Berwijn_02";NA;242974;161359;2015-07-13;"Berwijn_02_13/07/2015";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";320;"Con"
"55";"Berwijn_01";NA;243642;161000;2015-07-13;"Berwijn_01_13/07/2015";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";329;"Con"
"56";"Voer_08";"Voer";252130,9613;160064,3254;2016-08-11;"Voer_08_11/08/2016";"3260";"MonitoringINBO_H3260";"<10";"buiten";-31;"Con"
"57";"TR262200.2";"GROTE NETE - NETE";212550;205735;2013-07-22;"TR262200.2_22/07/2013";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"58";"LimnBerwijn";NA;244696;161436;2015-07-13;"LimnBerwijn_13/07/2015";"3260";"overige";">50";"binnen_sa";NA;"Con"
"59";"Berwijn_03";"Berwijn";245152;161385,9;2017-07-17;"Berwijn_03_17/07/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";348;"Con"
"60";"Berwijn_02_2";NA;243119;161141;2015-07-13;"Berwijn_02_2_13/07/2015";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";NA;"Con"
"61";"SchNe_04";"Scheppelijke Nete";203664,5;209630,1;2017-08-17;"SchNe_04_17/08/2017";"3260";"MonitoringINBO_H3260";"10-50";"buiten";-565;"Atl"
"62";"SchNe_04";"Scheppelijke Nete";203664,5;209630,1;2017-05-17;"SchNe_04_17/05/2017";"3260";"MonitoringINBO_H3260";"10-50";"buiten";-565;"Atl"
"63";"SchNe_03";"Scheppelijke Nete";205330,6;210333,1;2017-06-02;"SchNe_03_2/06/2017";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1166;"Atl"
"64";"NooMa_02_4";NA;187012;231986;2015-06-18;"NooMa_02_4_18/06/2015";"3260";"overige";"<10";"binnen_sa";NA;"Atl"
"65";"SchNe_05";"Scheppelijke Nete";208236;210749,2;2017-05-19;"SchNe_05_19/05/2017";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1198;"Atl"
"66";"TR333500.2";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";205977;210511;2017-09-07;"TR333500.2_7/09/2017";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"67";"SchNe_05";"Scheppelijke Nete";208236;210749,2;2017-08-17;"SchNe_05_17/08/2017";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1198;"Atl"
"68";"TR333500.3";"SCHEPPELIJKE NETE - SCHEPPELIJKE NEET - STEVENSLOOP";208549;210821;2017-09-07;"TR333500.3_7/09/2017";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"69";"TR147000.1";"VOER";247369;162125;2013-09-26;"TR147000.1_26/09/2013";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Con"
"70";"TR147000.3";"VOER";250505;161271;2013-09-26;"TR147000.3_26/09/2013";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Con"
"71";"TR147000.2";"VOER";249392;161726;2013-09-26;"TR147000.2_26/09/2013";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Con"
"72";"SchNe_02";"Scheppelijke Nete";207415,4;210723,8;2016-08-26;"SchNe_02_26/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1189;"Atl"
"73";"SchNe_01";"Scheppelijke Nete";205843,1;210444,9;2016-08-04;"SchNe_01_4/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1172;"Atl"
"74";"DommelWulp";NA;223142;216148;2015-07-09;"DommelWulp_9/07/2015";"3260";"overige";">50";"binnen_sa";NA;"Atl"
"75";"Dommel_05";NA;223429;215626;2015-06-25;"Dommel_05_25/06/2015";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";783;"Atl"
"76";"NooMa_02_5";NA;187082;231915;2015-06-18;"NooMa_02_5_18/06/2015";"3260";"overige";"<10";"binnen_sa";NA;"Atl"
"77";"TR182200.3";"GROOT SCHIJN  - VOORGRACHT - HALSEBEEK - RISSCHOTSE BEEK - MOERBEEK";168845;215411;2015-07-14;"TR182200.3_14/07/2015";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"78";"TR306500.4";"LOEIJENS NEETJE - GEMEENTELOOP";196027;215568;2014-07-28;"TR306500.4_28/07/2014";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"79";"TR306500.1";"LOEIJENS NEETJE - GEMEENTELOOP";196022;215583;2017-07-03;"TR306500.1_3/07/2017";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"80";"LoeNe_01";NA;196023;215574;2015-07-06;"LoeNe_01_6/07/2015";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1309;"Atl"
"81";"Dommel_08";"Dommel";224594,6;208014,2;2016-08-08;"Dommel_08_8/08/2016";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";899;"Atl"
"82";"TR276700.2";"KLEINE NETE";197370;215135;2016-08-23;"TR276700.2_23/08/2016";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"83";"TR274000.1";"KLEINE NETE";181695;208584;2013-07-18;"TR274000.1_18/07/2013";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"84";"TR276700.2";"KLEINE NETE";197370;215135;2013-07-17;"TR276700.2_17/07/2013";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"85";"TR72000.2";"MARK - DE MARK";177333;236657;2016-08-30;"TR72000.2_30/08/2016";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"86";"TR489750.1";"Onbekend";161041;157534;2014-07-22;"TR489750.1_22/07/2014";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
