"Scenario";"Meting";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verdroging";TRUE;"zb";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"vernatting";TRUE;"zb";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"(korst)moslaag";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Vegetatie";"bedekking sleutel- en overige soorten";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";NA;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021515592266";103094;7140;"7140_meso";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"strooisellaag";FALSE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Verstoring";"structuurschade";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Verstoring";"verbossing";TRUE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Verstoring";"verruiging/vermossing/vergrassing";TRUE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Structuur";"(korst)moslaag";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Vegetatie";"bedekking sleutel- en overige soorten";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021515592266";103094;7140;"7140_meso";"Versie 3";"Verstoring";"invasieve exoten";TRUE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
