"Meetnet";"ID";"Habitattype";"Habitatsubtype";"Versie";"Regio";"PolygonWeight";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"PINK";"Polygoon14";"2110";"2110";"Versie 3";"Atlantic";360;5;5;0;100;1
"PINK";"Polygoon140";"2110";"2110";"Versie 2.0";"Atlantic";683;4;4;0;100;1
"PINK";"Polygoon140";"2110";"2110";"Versie 3";"Atlantic";683;5;5;0;100;1
"PINK";"Polygoon141";"2110";"2110";"Versie 2.0";"Atlantic";24;2;4;1;50;0
"PINK";"Polygoon141";"2110";"2110";"Versie 3";"Atlantic";24;3;5;1;60;0
"PINK";"Polygoon142";"2110";"2110";"Versie 2.0";"Atlantic";528;3;4;0;75;1
"PINK";"Polygoon142";"2110";"2110";"Versie 3";"Atlantic";528;4;5;0;80;1
"PINK";"Polygoon143";"2110";"2110";"Versie 2.0";"Atlantic";629;3;4;0;75;1
"PINK";"Polygoon143";"2110";"2110";"Versie 3";"Atlantic";629;4;5;0;80;1
"PINK";"Polygoon144";"2110";"2110";"Versie 2.0";"Atlantic";785;3;4;0;75;1
"PINK";"Polygoon144";"2110";"2110";"Versie 3";"Atlantic";785;4;5;0;80;1
"PINK";"Polygoon145";"2110";"2110";"Versie 2.0";"Atlantic";772;3;4;0;75;1
"PINK";"Polygoon145";"2110";"2110";"Versie 3";"Atlantic";772;4;5;0;80;1
"PINK";"Polygoon146";"2110";"2110";"Versie 2.0";"Atlantic";1564;3;4;0;75;1
"PINK";"Polygoon146";"2110";"2110";"Versie 3";"Atlantic";1564;4;5;0;80;1
"PINK";"Polygoon147";"2110";"2110";"Versie 2.0";"Atlantic";1412;3;4;0;75;1
"PINK";"Polygoon147";"2110";"2110";"Versie 3";"Atlantic";1412;4;5;0;80;1
"PINK";"Polygoon148";"2110";"2110";"Versie 2.0";"Atlantic";631;3;4;0;75;1
