"Scenario";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Cirkelplot";"IV2017012711292443";743982;6230;"6230_hmo";"Versie 3";"Binnen";100;2,27842490061699;2,27842490061699;11;11;0;100;1
"Cirkelplot";"IV2017012712420281";58433;6230;"6230_hn";"Versie 2.0";"Binnen";30;5,42646267659061;1,62793880297718;6;8;1;75;0
"Cirkelplot";"IV2017012712420281";58433;6230;"6230_hn";"Versie 3";"Binnen";30;5,42646267659061;1,62793880297718;7;9;1;77,7777777777778;0
"Cirkelplot";"IV2017012713261758";1436718;6230;"6230_hmo";"Versie 2.0";"Binnen";75;2,27842490061699;1,70881867546274;7;9;0;77,7777777777778;1
"Cirkelplot";"IV2017012713261758";1436718;6230;"6230_hmo";"Versie 3";"Binnen";75;2,27842490061699;1,70881867546274;8;11;2;72,7272727272727;0
"Cirkelplot";"IV2017012715235876";4390190;6410;"6410_ve";"Versie 2.0";"Binnen";100;3,07492932108213;3,07492932108213;9;11;1;81,8181818181818;0
"Cirkelplot";"IV2017012715235876";4390190;6410;"6410_ve";"Versie 3";"Binnen";100;3,07492932108213;3,07492932108213;7;13;4;53,8461538461538;0
"Cirkelplot";"IV2017012716313882";2760937;6410;"6410_ve";"Versie 2.0";"Binnen";60;3,07492932108213;1,84495759264928;8;11;2;72,7272727272727;0
"Cirkelplot";"IV2017012716313882";2760937;6410;"6410_ve";"Versie 3";"Binnen";60;3,07492932108213;1,84495759264928;7;13;4;53,8461538461538;0
"Cirkelplot";"IV2017013011050597";857298;6230;"6230_hn";"Versie 2.0";"Binnen";70;5,42646267659061;3,79852387361343;6;8;1;75;0
"Cirkelplot";"IV2017013011050597";857298;6230;"6230_hn";"Versie 3";"Binnen";70;5,42646267659061;3,79852387361343;9;9;0;100;1
"Cirkelplot";"IV2017013011553027";627922;6230;"6230_hn";"Versie 2.0";"Binnen";50;5,42646267659061;2,71323133829531;8;8;0;100;1
"Cirkelplot";"IV2017013011553027";627922;6230;"6230_hn";"Versie 3";"Binnen";50;5,42646267659061;2,71323133829531;9;9;0;100;1
"Cirkelplot";"IV2017013013060304";87250;6230;"6230_hn";"Versie 2.0";"Binnen";30;5,42646267659061;1,62793880297718;8;8;0;100;1
"Cirkelplot";"IV2017013013060304";87250;6230;"6230_hn";"Versie 3";"Binnen";30;5,42646267659061;1,62793880297718;9;9;0;100;1
"Cirkelplot";"IV2017013013460448";1115122;6230;"6230_hn";"Versie 2.0";"Buiten";70;9,17159716811805;6,42011801768263;7;8;1;87,5;0
"Cirkelplot";"IV2017013013460448";1115122;6230;"6230_hn";"Versie 3";"Buiten";70;9,17159716811805;6,42011801768263;8;9;1;88,8888888888889;0
"Cirkelplot";"IV2017013015545827";619506;6230;"6230_ha";"Versie 2.0";"Buiten";50;12,5627202244204;6,28136011221018;3;6;1;50;0
"Cirkelplot";"IV2017013015545827";619506;6230;"6230_ha";"Versie 3";"Buiten";50;12,5627202244204;6,28136011221018;8;9;1;88,8888888888889;0
"Cirkelplot";"IV2017013110020007";340978;6230;"6230_hn";"Versie 2.0";"Buiten";100;9,17159716811805;9,17159716811805;7;8;1;87,5;0
"Cirkelplot";"IV2017013110020007";340978;6230;"6230_hn";"Versie 3";"Buiten";100;9,17159716811805;9,17159716811805;8;9;1;88,8888888888889;0
"Cirkelplot";"IV2017020116071546";1711014;6230;"6230_hn";"Versie 2.0";"Binnen";70;5,42646267659061;3,79852387361343;6;8;0;75;1
"Cirkelplot";"IV2017020116071546";1711014;6230;"6230_hn";"Versie 3";"Binnen";70;5,42646267659061;3,79852387361343;9;9;0;100;1
"Cirkelplot";"IV2017020121010797";3276198;6230;"6230_hmo";"Versie 2.0";"Buiten";50;2,92792882668883;1,46396441334442;9;9;0;100;1
"Cirkelplot";"IV2017020121010797";3276198;6230;"6230_hmo";"Versie 3";"Buiten";50;2,92792882668883;1,46396441334442;10;11;1;90,9090909090909;0
"Cirkelplot";"IV2017020211023566";487606;6230;"6230_hmo";"Versie 2.0";"Buiten";70;2,92792882668883;2,04955017868218;7;9;0;77,7777777777778;1
"Cirkelplot";"IV2017020211023566";487606;6230;"6230_hmo";"Versie 3";"Buiten";70;2,92792882668883;2,04955017868218;11;11;0;100;1
"Cirkelplot";"IV2017020308164723";2173889;6410;"6410_mo";"Versie 2.0";"Binnen";100;0,365917673627072;0,365917673627072;9;11;1;81,8181818181818;0
"Cirkelplot";"IV2017020308164723";2173889;6410;"6410_mo";"Versie 3";"Binnen";100;0,365917673627072;0,365917673627072;12;13;1;92,3076923076923;0
"Cirkelplot";"IV2017020309175600";4008897;6410;"6410_mo";"Versie 2.0";"Binnen";100;0,365917673627072;0,365917673627072;9;11;1;81,8181818181818;0
"Cirkelplot";"IV2017020309175600";4008897;6410;"6410_mo";"Versie 3";"Binnen";100;0,365917673627072;0,365917673627072;10;13;2;76,9230769230769;0
"Cirkelplot";"IV2017020309560065";10766985;6410;"6410_mo";"Versie 2.0";"Binnen";95;0,365917673627072;0,347621789945718;8;11;2;72,7272727272727;0
"Cirkelplot";"IV2017020309560065";10766985;6410;"6410_mo";"Versie 3";"Binnen";95;0,365917673627072;0,347621789945718;8;13;3;61,5384615384615;0
"Cirkelplot";"IV2017020318100730";282614;7140;"7140_meso";"Versie 2.0";"Binnen";68;5,18362950735022;3,52486806499815;7;8;1;87,5;0
"Cirkelplot";"IV2017020318100730";282614;7140;"7140_meso";"Versie 3";"Binnen";68;5,18362950735022;3,52486806499815;11;12;0;91,6666666666667;1
"Cirkelplot";"IV2017020318315989";856054;7140;"7140_meso";"Versie 2.0";"Binnen";33;5,18362950735022;1,71059773742557;5;8;0;62,5;1
"Cirkelplot";"IV2017020318315989";856054;7140;"7140_meso";"Versie 3";"Binnen";33;5,18362950735022;1,71059773742557;10;12;0;83,3333333333333;1
"Cirkelplot";"IV2017020318560367";170798;7140;"7140_oli";"Versie 2.0";"Binnen";16;8,38547727868332;1,34167636458933;8;9;1;88,8888888888889;0
"Cirkelplot";"IV2017020318560367";170798;7140;"7140_oli";"Versie 3";"Binnen";16;8,38547727868332;1,34167636458933;10;10;0;100;1
"Cirkelplot";"IV2017020713102084";863862;7140;"7140_meso";"Versie 2.0";"Binnen";100;5,18362950735022;5,18362950735022;5;8;1;62,5;0
"Cirkelplot";"IV2017020713102084";863862;7140;"7140_meso";"Versie 3";"Binnen";100;5,18362950735022;5,18362950735022;10;12;0;83,3333333333333;1
"Cirkelplot";"IV2017020813265807";1013294;7140;"7140_meso";"Versie 2.0";"Binnen";100;5,18362950735022;5,18362950735022;3;8;1;37,5;0
"Cirkelplot";"IV2017020813265807";1013294;7140;"7140_meso";"Versie 3";"Binnen";100;5,18362950735022;5,18362950735022;6;12;3;50;0
