"ID";"IDPlots";"Habitattype";"Versie";"Indicator";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"Scenario"
"IV2017010610523940";455349;"1330_hpr";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"7";">=";"2";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 2.0";"overgang naar rbbmr";"bedekking riet";"3";"<";"90";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"7,32135";"<=";"91,5564047007812";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"27,5";"<";"70";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"100";">=";"T";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"93,9702175069454";">=";"30";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"8";">=";"2";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 3";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"7,32135";"<=";"93,9702175069454";TRUE;"Cirkelplot"
"IV2017010610523940";455349;"1330_hpr";"Versie 3";"rietontwikkeling";"bedekking";"t";"<=";"T";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"30,729875";">=";"10";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"3";">=";"4";FALSE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 2.0";"strooisellaag";"bedekking strooisellaag";"1";"<=";"30";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 2.0";"verbossing/verstruweling";"bedekking verbossing";"20";"<=";"10";FALSE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 2.0";"verruiging";"bedekking verruiging";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 2.0";"vervilting";"bedekking vervilting";"4,45500000000001";"<=";"30";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"64,1360421886719";">=";"10";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"6";">=";"4";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"eutrofiëring";"bedekking eutrofiëring";"1,5";"<=";"10";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"strooisellaag";"bedekking strooisellaag";"1";"<=";"10";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"verbossing";"bedekking verbossing";"20";"<=";"10";FALSE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"verbraming";"bedekking verbraming";"1,5";"<=";"10";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"vergrassing inclusief vervilting";"bedekking vergrassing";"5,91";"<=";"50";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"vermossing";"bedekking vermossing";"0";"<=";"30";TRUE;"Cirkelplot"
"IV2017010611111454";423762;"6230_ha";"Versie 3";"verruiging inclusief ruderalisering";"bedekking verruiging";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 2.0";"dominantie van één soort";"dominantie van een soort";"0";"<=";"50";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 2.0";"horizontale structuur";"goed ontwikkelde structuur";NA;"=";"1";NA;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 2.0";"microreliëf";"microreliëf aanwezig";"1";"=";"1";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten (excl. heen)";"cd";">=";"f";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"4";">=";"2";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 2.0";"overgang naar rbbmr";"bedekking riet";"0";"<";"90";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"28,225";"<=";"31,42257625";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"0";"<";"70";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"100";">=";"T";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"31,42257625";">=";"30";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"4";">=";"2";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 3";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"28,225";"<=";"31,42257625";TRUE;"Cirkelplot"
"IV2017010612172361";996353;"1330_hpr";"Versie 3";"rietontwikkeling";"bedekking";"Afwezig";"<=";"T";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 2.0";"dominantie van één soort";"dominantie van een soort";"0";"<=";"50";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 2.0";"horizontale structuur";"goed ontwikkelde structuur";NA;"=";"1";NA;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 2.0";"microreliëf";"microreliëf aanwezig";"1";"=";"1";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten (excl. heen)";"cd";">=";"f";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"3";">=";"2";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 2.0";"overgang naar rbbmr";"bedekking riet";"0";"<";"90";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"1,5";"<=";"29,6586875";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"0";"<";"70";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"100";">=";"T";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"29,6586875";">=";"30";FALSE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"3";">=";"2";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 3";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"1,5";"<=";"29,6586875";TRUE;"Cirkelplot"
"IV2017010613314127";472065;"1330_hpr";"Versie 3";"rietontwikkeling";"bedekking";"Afwezig";"<=";"T";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 2.0";"dominantie van één soort";"dominantie van een soort";"3";"<=";"50";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 2.0";"horizontale structuur";"goed ontwikkelde structuur";NA;"=";"1";NA;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 2.0";"microreliëf";"microreliëf aanwezig";"1";"=";"1";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten (excl. heen)";"cd";">=";"f";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"7";">=";"2";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 2.0";"overgang naar rbbmr";"bedekking riet";"3";"<";"90";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"27,5";"<=";"36,7643625472372";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"3";"<";"70";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"100";">=";"T";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"36,7643625472372";">=";"30";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"7";">=";"2";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 3";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"27,5";"<=";"36,7643625472372";TRUE;"Cirkelplot"
"IV2017010616345212";1117877;"1330_hpr";"Versie 3";"rietontwikkeling";"bedekking";"t";"<=";"T";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"hoogopschietende soorten";"bedekking hoogopschietende soorten";"0";"<";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"horizontale structuur";"aantal levensvormen aanwezig";"3";"=";"3";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"14,7884860351562";">=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"4";">=";"4";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"strooisellaag";"bedekking strooisellaag";"2";"<=";"30";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"verbossing/verstruweling";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"verruiging";"bedekking verruiging";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 2.0";"vervilting";"bedekking vervilting";"36,445074449209";"<=";"30";FALSE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"22,4232978862661";">=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"7";">=";"4";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"eutrofiëring";"bedekking eutrofiëring";"2,9775";"<=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"strooisellaag";"bedekking strooisellaag";"2";"<=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"verbossing";"bedekking verbossing";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"verbraming";"bedekking verbraming";"0";"<=";"10";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"vergrassing inclusief vervilting";"bedekking vergrassing";"36,4598131523438";"<=";"50";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"vermossing";"bedekking vermossing";"0";"<=";"30";TRUE;"Cirkelplot"
"IV2017010616490548";19510;"6230_hn";"Versie 3";"verruiging inclusief ruderalisering";"bedekking verruiging";"1,5";"<=";"10";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 2.0";"dominantie van één soort";"dominantie van een soort";"1,5";"<=";"50";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 2.0";"horizontale structuur";"goed ontwikkelde structuur";NA;"=";"1";NA;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 2.0";"microreliëf";"microreliëf aanwezig";"1";"=";"1";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten (excl. heen)";"d";">=";"f";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"5";">=";"2";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 2.0";"overgang naar rbbmr";"bedekking riet";"1";"<";"90";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"1,5";"<=";"51,28578459375";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"1,5";"<";"70";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"100";">=";"T";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"51,28578459375";">=";"30";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"5";">=";"2";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 3";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"1,5";"<=";"51,28578459375";TRUE;"Cirkelplot"
"IV2017010617095027";736949;"1330_hpr";"Versie 3";"rietontwikkeling";"bedekking";"s";"<=";"T";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 2.0";"dominantie van één soort";"dominantie van een soort";"27,5";"<=";"50";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 2.0";"horizontale structuur";"goed ontwikkelde structuur";NA;"=";"1";NA;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 2.0";"microreliëf";"microreliëf aanwezig";"1";"=";"1";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten (excl. heen)";"d";">=";"f";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"6";">=";"2";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 2.0";"overgang naar rbbmr";"bedekking riet";"1,5";"<";"90";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"27,5";"<=";"53,466796674375";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"27,5";"<";"70";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"100";">=";"T";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"53,466796674375";">=";"30";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 3";"sleutelsoorten";"aantal sleutelsoorten";"6";">=";"2";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 3";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"27,5";"<=";"53,466796674375";TRUE;"Cirkelplot"
"IV2017010617282387";212661;"1330_hpr";"Versie 3";"rietontwikkeling";"bedekking";"wt";"<=";"T";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 2.0";"dominantie van één soort";"dominantie van een soort";"3";"<=";"50";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 2.0";"horizontale structuur";"goed ontwikkelde structuur";NA;"=";"1";NA;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 2.0";"microreliëf";"microreliëf aanwezig";"1";"=";"1";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 2.0";"bedekking sleutelsoorten";"bedekking sleutelsoorten (excl. heen)";"cd";">=";"f";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 2.0";"sleutelsoorten";"aantal sleutelsoorten";"5";">=";"2";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 2.0";"overgang naar rbbmr";"bedekking riet";"3";"<";"90";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 2.0";"overgang naar rbbzil";"bedekking grasachtigen rbbzil <= som van de bedekking sleutelsoorten";"30,729875";"<=";"31,768926875";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 3";"dominantie van één soort";"dominantie van een soort";"3";"<";"70";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 3";"horizontale structuur";"differentiatie in zout- en tredplanten";NA;"=";"1";NA;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 3";"microreliëf";"bedekking microrelief";"50";">=";"T";TRUE;"Cirkelplot"
"IV2017010617430082";801793;"1330_hpr";"Versie 3";"bedekking sleutelsoorten";"bedekking sleutelsoorten";"34,8086211827188";">=";"30";TRUE;"Cirkelplot"
