"";"ID";"Criterium";"Indicator";"Voorwaarde";"Type";"Invoertype";"Eenheid";"Waarde"
"110";"AN_RPT_003_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"111";"AN_RPT_005_3140_18";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"112";"AN_RPT_005_3140_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"113";"AN_RPT_005_3150_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"114";"AN_RVS_002_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"115";"AN_SEL_002_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"116";"AN_SNE_003_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"117";"AN_SNE_003_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"118";"AN_SNE_004_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"119";"AN_SNE_004_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"120";"AN_SNE_006_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"121";"AN_SNE_006_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"122";"AN_SNE_008_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"123";"AN_SNE_008_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"124";"AN_SPB_002_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"125";"AN_SPB_002_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"126";"AN_STB_001_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"127";"AN_TIE_002_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"128";"AN_TIE_002_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"129";"AN_TIK_002_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"130";"AN_TIK_002_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"131";"AN_TUR_001_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"132";"AN_TUR_001_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"133";"AN_TVG_002_3110_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"134";"AN_TVG_002_3110_18";"Structuur";"verticale structuur";"aandeel isoëtiden > overige groeivormen";"Ja/nee";NA;NA;1
