"ID";"Habitattype";"Versie";"SGO";"SBZH";"Regio";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"TR152500.1_27/08/2013";3260;"Versie 2.0";">50";"binnen_sa";"Con";3;5;0;60;1
"TR152500.1_27/08/2013";3260;"Versie 3";">50";"binnen_sa";"Con";3;4;0;75;1
"TR152500.2_13/09/2017";3260;"Versie 2.0";">50";"binnen_sa";"Con";3;5;0;60;1
"TR152500.2_13/09/2017";3260;"Versie 3";">50";"binnen_sa";"Con";3;4;0;75;1
"TR152500.2_27/08/2013";3260;"Versie 2.0";">50";"binnen_sa";"Con";4;5;0;80;1
"TR152500.2_27/08/2013";3260;"Versie 3";">50";"binnen_sa";"Con";4;4;0;100;1
"TR152500.3_13/09/2017";3260;"Versie 2.0";">50";"binnen_sa";"Con";4;5;0;80;1
"TR152500.3_13/09/2017";3260;"Versie 3";">50";"binnen_sa";"Con";3;4;0;75;1
"TR152500.3_27/08/2013";3260;"Versie 2.0";">50";"binnen_sa";"Con";4;5;0;80;1
"TR152500.3_27/08/2013";3260;"Versie 3";">50";"binnen_sa";"Con";3;4;0;75;1
"TR182200.3_14/07/2015";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"TR182200.3_14/07/2015";3260;"Versie 3";"10-50";"buiten";"Atl";1;4;2;25;0
"TR182680.2_10/06/2015";3260;"Versie 2.0";"10-50";"buiten";"Atl";3;5;1;60;0
"TR182680.2_10/06/2015";3260;"Versie 3";"10-50";"buiten";"Atl";2;4;2;50;0
"TR185200.2_30/06/2015";3260;"Versie 2.0";"10-50";"buiten";"Atl";3;5;0;60;1
"TR185200.2_30/06/2015";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;0;75;1
"TR190870.1_30/07/2013";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";5;5;0;100;1
"TR190870.1_30/07/2013";3260;"Versie 3";"<10";"binnen_sa";"Atl";3;4;0;75;1
"TR216000.2_18/08/2016";3260;"Versie 2.0";">50";"buiten";"Atl";3;5;0;60;1
"TR216000.2_18/08/2016";3260;"Versie 3";">50";"buiten";"Atl";3;4;0;75;1
"TR216000.3_18/08/2016";3260;"Versie 2.0";">50";"buiten";"Atl";4;5;0;80;1
"TR216000.3_18/08/2016";3260;"Versie 3";">50";"buiten";"Atl";3;4;0;75;1
"TR262200.1_17/08/2016";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";3;5;1;60;0
"TR262200.1_17/08/2016";3260;"Versie 3";"10-50";"binnen_sa";"Atl";1;4;2;25;0
"TR262200.1_22/07/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";2;5;3;40;0
"TR262200.1_22/07/2013";3260;"Versie 3";"10-50";"binnen_sa";"Atl";1;4;3;25;0
"TR262200.2_22/07/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";5;5;0;100;1
"TR262200.2_22/07/2013";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;4;1;75;0
"TR274000.1_18/07/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";3;5;1;60;0
"TR274000.1_18/07/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";0;4;3;0;0
"TR274000.2_18/07/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";3;5;2;60;0
"TR274000.2_18/07/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";1;4;3;25;0
"TR274000.3_18/07/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;1;80;0
"TR274000.3_18/07/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";3;4;1;75;0
"TR274000.3_23/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";3;5;0;60;1
"TR274000.3_23/08/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";3;4;0;75;1
"TR276700.1_17/07/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";3;5;2;60;0
"TR276700.1_17/07/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";1;4;3;25;0
"TR276700.1_23/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"TR276700.1_23/08/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";2;4;1;50;0
"TR276700.2_17/07/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"TR276700.2_17/07/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";2;4;2;50;0
"TR276700.2_23/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"TR276700.2_23/08/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";2;4;1;50;0
"TR277000.1_1/08/2016";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"TR277000.1_1/08/2016";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;1;75;0
"TR277000.1_16/07/2013";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;1;80;0
"TR277000.1_16/07/2013";3260;"Versie 3";"10-50";"buiten";"Atl";2;4;2;50;0
"TR291000.2_19/06/2013";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"TR291000.2_19/06/2013";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;1;75;0
"TR292600.1_20/06/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"TR292600.1_20/06/2017";3260;"Versie 3";"10-50";"buiten";"Atl";1;4;2;25;0
"TR306500.1_3/07/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"TR306500.1_3/07/2017";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;0;75;1
"TR306500.2_1/08/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";3;5;1;60;0
"TR306500.2_1/08/2017";3260;"Versie 3";"10-50";"buiten";"Atl";0;4;3;0;0
"TR306500.3_3/07/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;1;80;0
"TR306500.3_3/07/2017";3260;"Versie 3";"10-50";"buiten";"Atl";1;4;3;25;0
"TR306500.4_28/07/2014";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"TR306500.4_28/07/2014";3260;"Versie 3";"10-50";"buiten";"Atl";2;4;1;50;0
"TR329000.2_19/08/2015";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"TR329000.2_19/08/2015";3260;"Versie 3";">50";"binnen_sa";"Atl";2;4;1;50;0
"TR329000.3_19/08/2015";3260;"Versie 2.0";">50";"buiten";"Atl";4;5;0;80;1
"TR329000.3_19/08/2015";3260;"Versie 3";">50";"buiten";"Atl";2;4;1;50;0
"TR333500.2_7/09/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"TR333500.2_7/09/2017";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;1;75;0
"TR333500.3_7/09/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";5;5;0;100;1
"TR333500.3_7/09/2017";3260;"Versie 3";"10-50";"buiten";"Atl";2;4;2;50;0
"TR335600.3_18/08/2014";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"TR335600.3_18/08/2014";3260;"Versie 3";"10-50";"binnen_sa";"Atl";3;4;0;75;1
"TR335600.3_24/07/2017";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"TR335600.3_24/07/2017";3260;"Versie 3";"10-50";"binnen_sa";"Atl";2;4;1;50;0
"TR397500.1_29/08/2016";3260;"Versie 2.0";">50";"buiten";"Atl";4;5;0;80;1
"TR397500.1_29/08/2016";3260;"Versie 3";">50";"buiten";"Atl";2;4;1;50;0
"TR418000.1_19/09/2016";3260;"Versie 2.0";">50";"buiten";"Atl";4;5;0;80;1
"TR418000.1_19/09/2016";3260;"Versie 3";">50";"buiten";"Atl";2;4;1;50;0
"TR418000.6_28/09/2017";3260;"Versie 2.0";">50";"buiten";"Atl";4;5;0;80;1
"TR418000.6_28/09/2017";3260;"Versie 3";">50";"buiten";"Atl";3;4;0;75;1
"TR488000.2_1/09/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";3;5;0;60;1
"TR488000.2_1/09/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";2;4;1;50;0
"TR489750.1_22/07/2014";3260;"Versie 2.0";"10-50";"buiten";"Atl";3;5;0;60;1
"TR489750.1_22/07/2014";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;0;75;1
"TR72000.2_30/08/2016";3260;"Versie 2.0";">50";"binnen_sa";"Atl";5;5;0;100;1
"TR72000.2_30/08/2016";3260;"Versie 3";">50";"binnen_sa";"Atl";3;4;1;75;0
"TR834600.5_17/09/2013";3260;"Versie 2.0";"10-50";"binnen_sa";"Atl";4;5;0;80;1
"TR834600.5_17/09/2013";3260;"Versie 3";"10-50";"binnen_sa";"Atl";2;4;1;50;0
"TR84000.1_19/08/2013";3260;"Versie 2.0";"10-50";"buiten";"Atl";2;5;2;40;0
"TR84000.1_19/08/2013";3260;"Versie 3";"10-50";"buiten";"Atl";1;4;2;25;0
"TR84000.3_19/08/2013";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"TR84000.3_19/08/2013";3260;"Versie 3";"10-50";"buiten";"Atl";1;4;2;25;0
"TR91000.7_17/07/2013";3260;"Versie 2.0";">50";"binnen_sa";"Atl";4;5;0;80;1
"TR91000.7_17/07/2013";3260;"Versie 3";">50";"binnen_sa";"Atl";1;4;2;25;0
"TR98000.2_27/06/2017";3260;"Versie 2.0";"10-50";"buiten";"Atl";4;5;0;80;1
"TR98000.2_27/06/2017";3260;"Versie 3";"10-50";"buiten";"Atl";3;4;0;75;1
"Voer_02_17/07/2017";3260;"Versie 2.0";"10-50";"binnen_sa";"Con";4;5;0;80;1
"Voer_02_17/07/2017";3260;"Versie 3";"10-50";"binnen_sa";"Con";3;5;1;60;0
"Voer_08_11/08/2016";3260;"Versie 2.0";"<10";"buiten";"Con";5;5;0;100;1
"Voer_08_11/08/2016";3260;"Versie 3";"<10";"buiten";"Con";4;5;1;80;0
"WalBo_01_28/08/2015";3260;"Versie 2.0";"<10";"binnen_sa";"Atl";5;5;0;100;1
"WalBo_01_28/08/2015";3260;"Versie 3";"<10";"binnen_sa";"Atl";4;5;1;80;0
"ZilBe_01_19/05/2017";3260;"Versie 2.0";"<10";"buiten";"Atl";5;5;0;100;1
"ZilBe_01_19/05/2017";3260;"Versie 3";"<10";"buiten";"Atl";3;5;1;60;0
