"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"aandeel dood hout";"b";"Binnen & Buiten";3;4,03485576923077;24,78;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";47;59,8660592443607;58,63;43,2;72,53
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"bosconstantie";"zb";"Binnen";25;26,0775091881555;73,16;52,83;86,9
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"bosconstantie";"zb";"Buiten";22;33,7885500562052;47,41;27,12;68,6
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";19;27,1784542143038;62,88;37,82;82,51
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";15;17,5752400726706;67,89;40,95;86,57
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";10;11,0775091881555;45,84;18,29;76,18
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";3;4,03485576923077;24,78;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";47;59,8660592443607;58,63;43,2;72,53
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"bosconstantie";"zb";"Binnen";25;26,0775091881555;73,16;52,83;86,9
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"bosconstantie";"zb";"Buiten";22;33,7885500562052;47,41;27,12;68,6
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";19;27,1784542143038;62,88;37,82;82,51
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";15;17,5752400726706;67,89;40,95;86,57
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";10;11,0775091881555;45,84;18,29;76,18
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"bosconstantie";"zb";"Binnen & Buiten";3;4,03485576923077;24,78;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";47;59,8660592443607;2,75;0,38;17,33
