"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 2.0";"9190";"9190";"Binnen & Buiten";59;60,8314353620715;4,93;1,58;14,36
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9190";"9190";"Binnen";31;28,9586816338972;10,36;3,36;27,78
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"9190";"9190";"Buiten";28;31,8727537281743;0;0;0
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 3";"9190";"9190";"Binnen & Buiten";59;60,8314353620715;7,11;2,65;17,71
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9190";"9190";"Binnen";31;28,9586816338972;10,36;3,36;27,78
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"9190";"9190";"Buiten";28;31,8727537281743;4,16;0,57;24,56
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Binnen & Buiten";30;342,2;0;0;0
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Binnen & Buiten";51;66,2011138962023;14,77;7,91;25,91
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Binnen & Buiten";24;22,9085151015309;41,62;22,84;63,2
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Binnen & Buiten";38;41,6171850506099;14,58;6,62;29,13
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Binnen & Buiten";39;43,0960588041952;0;0;0
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Binnen & Buiten";201;535,835643949735;4,74;2,97;7,48
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Binnen";126;393,07381605635;5,14;3,12;8,37
"Vlaanderen Atlantisch";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Buiten";75;142,761827893385;3,63;1,13;11,01
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Binnen & Buiten";30;342,2;0;0;0
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Binnen & Buiten";51;66,2011138962023;11,77;5,84;22,27
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Binnen & Buiten";24;22,9085151015309;5,64;1,25;22,01
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Binnen & Buiten";38;41,6171850506099;9,61;3,62;23,16
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Binnen & Buiten";39;43,0960588041952;0;0;0
"Vlaanderen Atlantisch";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen Atlantisch";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Binnen & Buiten";201;535,835643949735;2,44;1,36;4,36
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Binnen";126;393,07381605635;3,33;1,84;5,94
"Vlaanderen Atlantisch";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Buiten";75;142,761827893385;0;0;0
