"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";19;19,8127710971964;5,05;0,69;28,78
"Vlaanderen";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";202;536,827861799649;14,09;8,03;23,54
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen";126;393,07381605635;16,7;9,03;28,83
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"minimum structuurareaal";"zb";"Buiten";76;143,754045743298;6,93;2,69;16,75
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";30;342,2;11,98;4,42;28,57
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";51;66,2011138962023;27,43;17,11;40,9
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";25;23,9007329514447;15,28;5,7;34,98
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";38;41,6171850506099;24,49;13,42;40,43
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";39;43,0960588041952;3,81;0,91;14,55
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";19;19,8127710971964;5,05;0,69;28,76
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";202;536,827861799649;76,36;67,44;83,44
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen";126;393,07381605635;82,62;72,87;89,38
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Buiten";76;143,754045743298;59,24;32,64;81,34
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";30;342,2;94,01;78,59;98,53
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";51;66,2011138962023;44,17;30,58;58,69
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";25;23,9007329514447;53,39;32,96;72,74
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";38;41,6171850506099;55,54;39,25;70,72
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";39;43,0960588041952;26,24;14,49;42,75
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";19;19,8127710971964;59,56;35,81;79,54
"Vlaanderen";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";202;536,827861799649;81,31;73,14;87,43
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen";126;393,07381605635;85,89;76,21;92,04
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Buiten";76;143,754045743298;68,8;45,46;85,37
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";30;342,2;94,01;78,59;98,53
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";51;66,2011138962023;70,82;56,21;82,1
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";25;23,9007329514447;61,93;40,6;79,48
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";38;41,6171850506099;55,54;39,25;70,72
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";39;43,0960588041952;42,25;26,99;59,14
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";19;19,8127710971964;59,56;35,81;79,54
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";202;536,827861799649;10,59;7,2;15,3
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen";126;393,07381605635;6,68;4,13;10,63
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Buiten";76;143,754045743298;21,28;9,8;40,2
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";30;342,2;0;0;0
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";51;66,2011138962023;46,13;32,33;60,55
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";25;23,9007329514447;18,25;6,93;40,09
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";38;41,6171850506099;17,98;8,62;33,76
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";39;43,0960588041952;33,54;19,84;50,71
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Vlaanderen";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";202;536,827861799649;33,25;22,67;45,85
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen";126;393,07381605635;39,07;26,42;53,39
