"Scenario";"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Status_indicator";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 2.0";"Structuur";"naakte bodem";"zb";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 2.0";"Verstoring";"verbossing";"b";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 2.0";"Verstoring";"vergrassing";"zb";TRUE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 3";"Structuur";"horizontale structuur";"zb";TRUE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 3";"Structuur";"naakte bodem";"zb";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 3";"Verstoring";"invasieve exoten";"zb";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 3";"Verstoring";"verbossing";"b";FALSE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1092434";"2330";"2330_bu";"Versie 3";"Verstoring";"vergrassing";"zb";TRUE;"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 2.0";"Structuur";"horizontale structuur";"zb";TRUE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 2.0";"Structuur";"korstmosvegetaties";"b";FALSE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 2.0";"Structuur";"naakte bodem";"zb";FALSE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";TRUE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";FALSE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 2.0";"Verstoring";"verbossing";"b";TRUE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 2.0";"Verstoring";"vergrassing";"zb";TRUE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Voorwaarde_max";"1110750";"2330";"2330_bu";"Versie 3";"Structuur";"horizontale structuur";"zb";TRUE;"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
