"Scenario";"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"vergrassing inclusief vervilting";"Binnen & Buiten";6;54,8575085368337;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"vergrassing inclusief vervilting";"Binnen & Buiten";6;17,8799993966701;63,71;19,84;92,56
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verruiging inclusief ruderalisering";"Binnen & Buiten";49;1138,44408486787;96,08;80,57;99,31
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus; 6510_huk";"verruiging inclusief ruderalisering";"Binnen";34;379,446938090481;97,73;85,19;99,69
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk; 6510_hua; 6510_hu; 6510_hus";"verruiging inclusief ruderalisering";"Buiten";15;758,997146777392;95,25;68,55;99,46
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"verruiging inclusief ruderalisering";"Binnen & Buiten";30;982,087412716567;95,45;77,28;99,23
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"verruiging inclusief ruderalisering";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_huk";"verruiging inclusief ruderalisering";"Binnen & Buiten";6;54,8575085368337;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"verruiging inclusief ruderalisering";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua; 6510_hu; 6510_hus";"vegetatiehoogte";"Binnen & Buiten";43;1083,58657633104;96,28;88,32;98,88
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu; 6510_hus";"vegetatiehoogte";"Binnen";29;343,01115225712;88,24;71,63;95,7
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua; 6510_hu; 6510_hus";"vegetatiehoogte";"Buiten";14;740,575424073919;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hu";"vegetatiehoogte";"Binnen & Buiten";30;982,087412716567;95,89;86,72;98,81
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"vegetatiehoogte";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hus";"vegetatiehoogte";"Binnen & Buiten";6;17,8799993966701;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"verdroging";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"verdroging";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 2.0";"6510";"6510_hua";"vernatting";"Binnen & Buiten";7;83,6191642178022;57,14;20,93;87,04
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"vernatting";"Binnen & Buiten";7;83,6191642178022;57,14;20,93;87,04
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua; 6510_hu; 6510_hus";"verticale structuur";"Binnen & Buiten";43;1083,58657633104;96,28;88,32;98,88
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu; 6510_hus";"verticale structuur";"Binnen";29;343,01115225712;88,24;71,63;95,7
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua; 6510_hu; 6510_hus";"verticale structuur";"Buiten";14;740,575424073919;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hu";"verticale structuur";"Binnen & Buiten";30;982,087412716567;95,89;86,72;98,81
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hua";"verticale structuur";"Binnen & Buiten";7;83,6191642178022;100;100;100
"Schaal Vlaanderen";"Versie 3";"6510";"6510_hus";"verticale structuur";"Binnen & Buiten";6;17,8799993966701;100;100;100
