"ID";"Habitattype";"Habitatsubtype";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator";"Belang"
"ZSCPQ134";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ134";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ134";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ134";"91E0";"91E0_sf";"MSA";"13.14888077122";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ135";"91E0";"91E0_sf";"aandeel dood hout";"29";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ135";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"1";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ135";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ135";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ135";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ135";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ135";"91E0";"91E0_sf";"MSA";"10.470115778468";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ137";"91E0";"91E0_sf";"aandeel dood hout";"12";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ137";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ137";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ137";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ137";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ137";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ137";"91E0";"91E0_sf";"MSA";"10.470115778468";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ138";"91E0";"91E0_sf";"aandeel dood hout";"10";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ138";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"5";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ138";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"2";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ138";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ138";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ138";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ138";"91E0";"91E0_sf";"MSA";"10.470115778468";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ140";"91E0";"91E0_sf";"aandeel dood hout";"17";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ140";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ140";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"5";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ140";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ140";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ140";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"90";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ140";"91E0";"91E0_sf";"MSA";"4.658994793296";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ142";"91E0";"91E0_sf";"aandeel dood hout";"9";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ142";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"1";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ142";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ142";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ142";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ142";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ142";"91E0";"91E0_sf";"MSA";"1.6129534565718";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ145";"91E0";"91E0_sf";"aandeel dood hout";"18";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ145";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"1";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ145";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"4";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ145";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ145";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ145";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"100";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ145";"91E0";"91E0_sf";"MSA";"3.42583115235";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
