"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"118441";6510;"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;376;"376";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"62,74432";"<=";"30";FALSE;700;"700";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"30";"<=";"10";FALSE;1234;"1234";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1423;"1423";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"2";"<=";"10";TRUE;1456;"1456";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"15,11293312";"<=";"50";TRUE;1494;"1494";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"118441";6510;"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"64,21599387136";"<=";"30";FALSE;1659;"1659";"Buiten";"Atlantic";0,124808913397496;304,3;37,979352346858
"127218";6510;"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"40";"<=";"50";TRUE;1954;"1954";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"1,99";"<=";"70";TRUE;769;"769 AND 929";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"52,93079551";">=";"5";TRUE;929;"769 AND 929";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"9,77140000000001";">=";"50";FALSE;1108;"1108";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"3";">=";"7";FALSE;371;"371";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"20";"<=";"30";TRUE;1241;"1241";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 2.0";"Verstoring";"verbossing/verstruweling";"b";"bedekking verbossing";"5";"<=";"10";TRUE;1357;"1357";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"6,85129600000001";"<=";"30";TRUE;1708;"1708";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"kb";"<";"D";TRUE;1960;"1960";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"1,99";"<";"70";TRUE;770;"770 AND 932";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"32,07907";">";"5";TRUE;932;"770 AND 932";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"9,77140000000001";">=";"30";FALSE;1110;"1110";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"3";">=";"7";FALSE;376;"376";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"2,9701";"<=";"30";TRUE;700;"700";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"20";"<=";"10";FALSE;1234;"1234";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"5";"<=";"10";TRUE;1423;"1423";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1456;"1456";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"1,99";"<=";"50";TRUE;1494;"1494";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"127218";6510;"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"8,70495520960001";"<=";"30";TRUE;1659;"1659";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077
"1280278";6510;"6510_hus";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"40";"<=";"50";TRUE;1927;"1927";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"14,3749";"<=";"70";TRUE;768;"768 AND 931";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"68,1163264";">=";"5";TRUE;931;"768 AND 931";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"50";FALSE;1070;"1070";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;335;"335";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1246;"1246";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 2.0";"Verstoring";"verbossing/verstruweling";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1367;"1367";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"40,6";"<=";"30";FALSE;1618;"1618";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"kb";"<";"D";TRUE;1962;"1962";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"14,3749";"<";"70";TRUE;767;"767 AND 934";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"68,1163264";">";"5";TRUE;934;"767 AND 934";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"2";">=";"30";FALSE;1076;"1076";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;334;"334";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"55,27455616";"<=";"30";FALSE;703;"703";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"10";TRUE;1247;"1247";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1436;"1436";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1459;"1459";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"58,899952";"<=";"50";FALSE;1498;"1498";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"1280278";6510;"6510_hus";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"12";"<=";"30";TRUE;1601;"1601";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667
"143382";6510;"6510_hu";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"70";"<=";"50";FALSE;1954;"1954";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking hoge grassen";"15,328";"<=";"70";TRUE;769;"769 AND 929";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 2.0";"Structuur";"vegetatiehoogte";"b";"bedekking middelhoge en lage grassen";"74,0692";">=";"5";TRUE;929;"769 AND 929";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"1";">=";"50";FALSE;1108;"1108";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;371;"371";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 2.0";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"30";TRUE;1241;"1241";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 2.0";"Verstoring";"verbossing/verstruweling";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1357;"1357";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 2.0";"Verstoring";"verruiging";"zb";"bedekking verruiging";"4";"<=";"30";TRUE;1708;"1708";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. sleutelsoorten";"hb";"<";"D";TRUE;1960;"1960";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking hoge grassen";"15,328";"<";"70";TRUE;770;"770 AND 932";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Structuur";"verticale structuur";"b";"bedekking middelhoge grassen";"74,0692";">";"5";TRUE;932;"770 AND 932";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"1";">=";"30";FALSE;1110;"1110";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"7";FALSE;376;"376";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"72,0465976";"<=";"30";FALSE;700;"700";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"0";"<=";"10";TRUE;1234;"1234";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1423;"1423";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1456;"1456";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"18,6810112";"<=";"50";TRUE;1494;"1494";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"143382";6510;"6510_hu";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"1";"<=";"30";TRUE;1659;"1659";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569
"1487746";6510;"6510_huk";"Versie 2.0";"Structuur";"horizontale structuur";"b";"bedekking rozetplanten";"10,66457107";">=";"30";FALSE;1027;"1027";"Binnen";"Continental";0,585855240148789;8,92;5,2258287421272
"1487746";6510;"6510_huk";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";"b";"bedekking sleutelsoorten";"14,1847434182034";">=";"10";TRUE;1066;"1066";"Binnen";"Continental";0,585855240148789;8,92;5,2258287421272
