"ID";"IDPlots";"TypePlot";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"IV2017012012433410";"379094";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012012433410";"379094";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012013095674";"116950";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012013095674";"116950";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012013095674";"116950";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012013585970";"641238";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012013585970";"641238";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012013585970";"641238";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012016215306";"315329";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012016215306";"315329";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012016215306";"315329";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012016550624";"300649";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017012016550624";"300649";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012016550624";"300649";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012016550624";"300649";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012017312649";"576302";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"2";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017012017312649";"576302";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012017312649";"576302";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012017312649";"576302";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012312531726";"745170";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012312531726";"745170";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012312531726";"745170";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012521104081";"141010";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012521104081";"141010";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012521104081";"141010";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012522232265";"59090";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"5";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012522232265";"59090";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"20";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012522232265";"59090";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"20";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012611360478";"220882";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012611360478";"220882";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012611360478";"220882";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012613110316";"696182";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"30";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012613110316";"696182";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"30";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017012613110316";"696182";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017012613110316";"696182";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"10";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012613170767";"89810";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012613170767";"89810";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012613170767";"89810";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012613530004";"648914";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"3";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012613530004";"648914";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012613530004";"648914";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012620054742";"1150886";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017012620054742";"1150886";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012620054742";"1150886";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012620054742";"1150886";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012620573892";"1216422";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017012620573892";"1216422";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012620573892";"1216422";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012620573892";"1216422";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012709294069";"1566033";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017012709294069";"1566033";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"5";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012709294069";"1566033";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017012709294069";"1566033";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017012710254898";"207406";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017012710254898";"207406";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017012710254898";"207406";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
