"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";177;512,927128848204;14,03;7,79;23,98
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen";111;381,573673651392;16,56;8,74;29,13
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"minimum structuurareaal";"zb";"Buiten";66;131,353455196812;6,69;2,39;17,34
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";30;342,2;11,98;4,42;28,58
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";51;66,2011138962023;27,43;17,11;40,91
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";38;41,6171850506099;24,49;13,41;40,43
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";39;43,0960588041952;3,81;0,91;14,56
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";19;19,8127710971964;5,05;0,69;28,78
"Vlaanderen";"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";202;536,827861799649;14,09;8,03;23,54
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen";126;393,07381605635;16,7;9,03;28,83
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Structuur";"minimum structuurareaal";"zb";"Buiten";76;143,754045743298;6,93;2,69;16,75
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";30;342,2;11,98;4,42;28,57
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";51;66,2011138962023;27,43;17,11;40,9
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";25;23,9007329514447;15,28;5,7;34,98
