"Scenario";"Meting";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021314354987";1022766;6230;"6230_hmo";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"10";">=";"4";TRUE;290;"290";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"strooisellaag";"b";"bedekking strooisellaag";"2";"<=";"10";TRUE;1270;"1270";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"1";"<=";"10";TRUE;1345;"1345";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verbraming";"b";"bedekking verbraming";"0";"<=";"10";TRUE;1461;"1461";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verdroging";"zb";"bedekking verdroging";"1,99";"<=";"30";TRUE;1476;"1476";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";"zb";"bedekking vergrassing";"21,592";"<=";"50";TRUE;1483;"1483";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"vermossing";"zb";"bedekking vermossing";"0";"<=";"30";TRUE;1580;"1580";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"vernatting";"zb";"bedekking vernatting";"3,9502";"<=";"30";TRUE;1593;"1593";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021315595672";1022766;6230;"6230_hmo";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";"zb";"bedekking verruiging";"5,9104";"<=";"10";TRUE;1650;"1650";"Binnen";"Atlantic";30;5,635;1,6905
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"(korst)moslaag";"b";"bedekking moslaag";"10,6828";">=";"10";TRUE;980;"980";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Vegetatie";"bedekking sleutel- en overige soorten";"b";"totale bedekking sleutelsoorten";"60";">=";"30";TRUE;2380;"2380 AND 2379";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Vegetatie";"bedekking sleutel- en overige soorten";"b";"totale bedekking sleutel- en overige soorten";"72,28";">=";"50";TRUE;2379;"2380 AND 2379";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"dominantie van één soort";"b";"dominantie van een soort";"60";"<=";"70";TRUE;1924;"1924";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"bedekking drijflaag";NA;">=";"10";NA;681;"681 AND 1004";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"bedekking open water";NA;">=";"10";NA;1004;"681 AND 1004";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"oppervlakte moeras in ha";NA;">=";"0,1";NA;2289;"2289";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"oppervlakte habitatvlek in ha";NA;">=";"0,01";NA;2261;"2261";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021515592266";103094;7140;"7140_meso";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"2";">=";"4";FALSE;364;"364";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Structuur";"strooisellaag";"b";"bedekking strooisellaag";"70";"<=";"30";FALSE;1234;"1234";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Verstoring";"structuurschade";"b";"bedekking structuurschade";"0";"<";"10";TRUE;1280;"1280";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Verstoring";"verbossing";"zb";"bedekking verbossing";"0";"<";"10";TRUE;1381;"1381";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Verstoring";"verruiging/vermossing/vergrassing";"zb";"bedekking verruiging/vergrassing/vermossing";"1";"<=";"30";TRUE;1805;"1805 AND 1978";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";NA;"IV2017021516075256";103094;7140;"7140_meso";"Versie 2.0";"Verstoring";"verruiging/vermossing/vergrassing";"zb";"gemiddelde vegetatiehoogte in cm";NA;"<=";"80";NA;1978;"1805 AND 1978";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Structuur";"(korst)moslaag";"b";"bedekking moslaag";"10,6828";">=";"10";TRUE;966;"966";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Vegetatie";"bedekking sleutel- en overige soorten";"b";"bedekking sleutelsoorten";"60";">=";"30";TRUE;1086;"1086";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Structuur";"dominantie van één soort";"b";"dominantie van een soort excl. draadzegge";"60";"<=";"70";TRUE;1943;"1943";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"eutrofiëring";"zb";"bedekking eutrofiëring";"0";"<=";"10";TRUE;741;"741";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
