"ID";"Habitattype";"Habitatsubtype";"Phab";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"VBI2147141";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";0,87;1;0,87;2;10;3;20;0
"VBI2147141";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";0,87;1;0,87;3;10;2;30;0
"VBI2148018";"91E0";"91E0_vm";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;5;10;2;50;0
"VBI2148018";"91E0";"91E0_vm";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"VBI2148025";"91E0";"91E0_vn";70;"Versie 2.0";"Binnen";"Atlantic";0,91;2,0775091881555;1,8905333612215;6;10;1;60;0
"VBI2148025";"91E0";"91E0_vn";70;"Versie 3";"Binnen";"Atlantic";0,91;2,0775091881555;1,8905333612215;5;10;2;50;0
"VBI2148087";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;11;2;45,4545454545455;0
"VBI2148087";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;2;70;0
"VBI2148095";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;11;2;45,4545454545455;0
"VBI2148095";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;2;60;0
"VBI2154004";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;11;3;36,3636363636364;0
"VBI2154004";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;4;10;3;40;0
"VBI2154013";"9190";"9190";100;"Versie 2.0";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;8;11;1;72,7272727272727;0
"VBI2154013";"9190";"9190";100;"Versie 3";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;9;10;0;90;1
"VBI2154019";"9190";"9190";100;"Versie 2.0";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;4;11;2;36,3636363636364;0
"VBI2154019";"9190";"9190";100;"Versie 3";"Buiten";"Atlantic";1;1,32471960632478;1,32471960632478;5;10;2;50;0
"VBI2154032";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";0,79;1,08658788131202;0,858404426236493;5;11;3;45,4545454545455;0
"VBI2154032";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";0,79;1,08658788131202;0,858404426236493;5;10;3;50;0
"VBI2154072";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;2;54,5454545454545;0
"VBI2154072";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;2;60;0
"VBI2154091";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;1;72,7272727272727;0
"VBI2154091";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;1;70;0
"VBI2154101";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,79;1,08658788131202;0,858404426236493;6;11;2;54,5454545454545;0
"VBI2154101";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,79;1,08658788131202;0,858404426236493;6;10;2;60;0
"VBI2157029";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;7;11;2;63,6363636363636;0
"VBI2157029";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;1;1;7;10;2;70;0
"VBI2157051";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,58;1,08658788131202;0,63022097116097;6;11;3;54,5454545454545;0
"VBI2157051";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,58;1,08658788131202;0,63022097116097;5;10;3;50;0
"VBI2157054";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,69;1,08658788131202;0,749745638105291;6;11;2;54,5454545454545;0
"VBI2157054";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,69;1,08658788131202;0,749745638105291;6;10;2;60;0
"VBI2157063";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;8;11;2;72,7272727272727;0
"VBI2157063";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;10;2;70;0
"VBI2157084";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;11;2;54,5454545454545;0
"VBI2157084";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;5;10;3;50;0
"VBI2157091";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,84;1,08658788131202;0,912733820302094;6;11;2;54,5454545454545;0
"VBI2157091";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,84;1,08658788131202;0,912733820302094;5;10;3;50;0
"VBI2157138";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";0,65;1;0,65;7;10;1;70;0
"VBI2157138";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";0,65;1;0,65;7;10;1;70;0
"VBI2158033";"9120";"9120";70;"Versie 2.0";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;7;11;1;63,6363636363636;0
"VBI2158033";"9120";"9120";70;"Versie 3";"Buiten";"Atlantic";1;1,08658788131202;1,08658788131202;6;10;1;60;0
"VBI2158069";"9160";"9160";100;"Versie 2.0";"Binnen";"Atlantic";1;1;1;6;10;2;60;0
"VBI2158069";"9160";"9160";100;"Versie 3";"Binnen";"Atlantic";1;1;1;6;10;3;60;0
