"Schaal";"Versie";"Habitattype";"Habitatsubtype";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen Atlantisch";"Versie 2.0";"91E0";"91E0_vo";"Binnen & Buiten";18;18,8127710971964;0;0;0
"Vlaanderen";"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Binnen & Buiten";170;192,627861799648;6,79;4;11,3
"Vlaanderen";"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Binnen";95;93,97381605635;13,92;8,29;22,43
"Vlaanderen";"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Buiten";75;98,6540457432985;0;0;0
"Vlaanderen";"Versie 3";"91E0";"91E0_va";"Binnen & Buiten";51;66,2011138962023;11,77;5,84;22,28
"Vlaanderen";"Versie 3";"91E0";"91E0_vc";"Binnen & Buiten";25;23,9007329514447;5,41;1,2;21,21
"Vlaanderen";"Versie 3";"91E0";"91E0_vm";"Binnen & Buiten";37;40,6171850506099;9,85;3,7;23,69
"Vlaanderen";"Versie 3";"91E0";"91E0_vn";"Binnen & Buiten";39;43,0960588041952;0;0;0
"Vlaanderen";"Versie 3";"91E0";"91E0_vo";"Binnen & Buiten";18;18,8127710971964;0;0;0
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Binnen & Buiten";169;191,635643949735;6,83;4,02;11,36
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Binnen";95;93,97381605635;13,92;8,29;22,43
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Buiten";74;97,6618278933846;0;0;0
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_va";"Binnen & Buiten";51;66,2011138962023;11,77;5,84;22,28
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_vc";"Binnen & Buiten";24;22,9085151015309;5,64;1,25;22,02
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_vm";"Binnen & Buiten";37;40,6171850506099;9,85;3,7;23,69
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_vn";"Binnen & Buiten";39;43,0960588041952;0;0;0
"Vlaanderen Atlantisch";"Versie 3";"91E0";"91E0_vo";"Binnen & Buiten";18;18,8127710971964;0;0;0
